Code insee;Bénéficiaires;Communes;Projets;Détails;Coût ;"Subvention DSIL ""classique""";Subvention DSIL exceptionnelle;latitude;longitude
246700777;EPCI;COMMUNAUTÉ DE COMMUNES DE LA VALLÉE DE VILLÉ;Transition écologique;Mise en place d’abris vélos sécurisés;26 148,00 €;5 230,00 €;20,00%;48.33723183045217;7.288333770823184
57142;Communes;Chieulles;Transition écologique;Remplacement des candélabres;26 276,88 €;10 511,00 €;40,00%;49.160093;6.22554
29117;Communes;LANNILIS;Transition écologique;Réfection de l’éclairage des salles de sport communales;26 348,00 €;20 000,00 €;75,91%;48.572055;-4.523836
28106;Communes;Conie Molitard;Préservation du patrimoine;Réfection des gouttières et du pignon de l’église;26 363,00 €;13 000,00 €;49,31%;48.111156;1.435457
2E+13;EPCI;Syndicat Mixte de Pouilly-Fleury;Transition écologique;Remplacement de la chaudière principale du groupe scolaire;26 372,70 €;10 549,00 €;40,00%;49.04294132965174;6.193276797705703
77142;Communes;CRECY LA CHAPELLE;Préservation du patrimoine;Travaux de restauration du lavoir de Montbarbin;26 378,00 €;20 956,00 €;79,44%;48.857836;2.92216
82097;Communes;Lavit;Transition écologique;Aménagement de l'avenue du Lac;26 400,00 €;6 792,00 €;25,73%;43.957815;0.921828
23246;Communes;ST SULPICE LES CHAMPS;Résilience sanitaire;Mise en accessibilité du parking de la maison médicale et place de la poste (accès PMR);26 416,41 €;10 566,56 €;40,00%;45.990428;2.027754
22050;Communes;Dinan;Transition écologique;Acquisition de 4 Vélos Bus;26 463,00 €;21 170,00 €;80,00%;48.445894;-2.053212
7248;Communes;SAINT JEAN ROURE;Préservation du patrimoine;travaux de mise en valeur du lavoir et du four à pain citoyen;26 671,95 €;10 935,50 €;41,00%;44.942177;4.427442
86192;Communes;PLAISANCE;Transition écologique;Acquisition d’une balayeuse électrique;26 695,00 €;21 356,00 €;80,00%;46.330781;0.872228
80815;Communes;Vron;Résilience Sanitaire;travaux sur le réseau d’assainissement de la salle des fêtes;26 789,00 €;21 431,28 €;80,00%;50.309484;1.759271
87187;Communes;Saint Yrieix la Perche;Résilience sanitaire;Chemisage d’une canalisation Prévert Brassens;26 926,00 €;8 077,80 €;30,00%;45.524542;1.207256
62613;Communes;NIELLES-LES-BLEQUIN;Préservation du patrimoine;isolation et réfection de la couverture du presbytère;26 984,12 €;5 396,82 €;20,00%;50.675821;2.043387
97121;Communes;Pointe Noire;Résilience Sanitaire;appel à projet covid -protocole rentrée 2020;27 059,42 €;21 647,54 €;80,00%;16.224834;-61.774956
19023;Communes;BEYNAT;Transition écologique;Rénovation des salles polyvalentes d’Espagnagol et Parjadis – isolation;27 179,47 €;8 153,84 €;30,00%;45.1235973;1.759842
57125;Communes;CHAILLY LES ENNERY;Transition écologique;éclairage public LED (UEM) ;27 201,80 €;10 881,00 €;40,00%;49.208072;6.235757
2B205;Communes;Patrimonio;Transition écologique;Réhabilitation du Presbytère pour la création, de logements sociaux – acquisition terrains;27 585,00 €;5 517,00 €;20,00%;42.700791;9.363427
81276;Communes;Salvagnac;Transition écologique;isolation des combles et remplacement des fenêtres de la mairie;27 621,00 €;13 811,00 €;50,00%;43.913985;1.692508
53007;Communes;ARGENTRE;Transition écologique;réfection de l’éclairage du terrain de football des Marzelles;27 915,00 €;8 053,00 €;28,85%;48.090714;-0.655868
85302;Communes;CHANVERRIE;Transition écologique;Acquisition de véhicules électriques;27 919,60 €;15 623,80 €;55,96%;46.95134;-0.981498
35180;Communes;MINIAC SOUS BECHEREL;Transition écologique;Amélioration énergétique des logements locatifs sociaux communaux;28 000,00 €;8 400,00 €;30,00%;48.282102;-1.928225
29089;Communes;Kergloff;Transition écologique;Rénovation thermique de la cantine;28 000,00 €;22 400,00 €;80,00%;48.2845042;-3.6404062
15213;Communes;SAINT SATURNIN;Hors thématiques DSIL relance;Travaux enrochement pour conforter mur et pont;28 004,00 €;11 201,00 €;40,00%;45.2274;2.7982
8331;Communes;NOYERS PONT MAUGIS;Transition écologique;Rénovation énergétique de l’école maternelle;28 011,00 €;14 006,00 €;50,00%;49.660491;4.937502
62387;Communes;GREVILLERS;Transition écologique;Rénovation énergétique de l’école;28 093,65 €;7 023,41 €;25,00%;50.104625;2.81161
35068;Communes;CHATEAUBOURG;Préservation du patrimoine;Rénovation du coq et de la croix du clocher de Broons s/Vilaine;28 133,00 €;22 507,00 €;80,00%;48.111623;-1.404302
35319;Communes;SAINT-THURIAL;Transition écologique;Rénovation énergétique salles communales ;28 137,49 €;12 000,00 €;42,65%;48.03644;-1.928985
28366;Communes;Santeuil;Transition écologique;Achat d’un véhicule électrique;28 311,00 €;8 500,00 €;30,02%;48.386687;1.734709
10081;Communes;La Chapelle Saint Luc;Transition écologique;Rénovation énergétique de la médiathèque Eliane Chartier;28 520,00 €;11 408,00 €;40,00%;48.316671;4.048117
51472;Communes;SAINT AMAND SUR FION;Préservation du patrimoine;Travaux urgents de réparation de toitures de l’église Saint Amand et de l’église Saint Nicolas;28 690,00 €;11 476,00 €;40,00%;48.817447;4.588933
63305;Communes;Rochefort-Montagne;Transition écologique;travaux pour le réseau chaleur dans la cour de la gendarmerie;28 710,00 €;7 177,00 €;25,00%;45.68582;2.804638
54336;Communes;Maizières;Préservation du patrimoine;Rénovation éclairage public en technologie LED;28 728,00 €;11 491,00 €;40,00%;48.584964;6.060517
15108;Communes;VAL D'ARCOMIE;Préservation du patrimoine;Rénovation couverture ancien presbytère;28 737,00 €;11 494,00 €;40,00%;44.9356532;3.1469732
80096;Communes;Bethencourt sur Mer;Transition écologique;rénovation de la toiture de la salle communale;28 800,00 €;23 040,00 €;80,00%;50.077626;1.503934
57590;Communes;ROLBING;Transition écologique;Isolation thermique toiture Mairie;28 830,58 €;14 415,00 €;50,00%;49.170106;7.432467
28251;Communes;Mézières en Drouais;Transition écologique;Achat d’un véhicule électrique;29 106,00 €;8 800,00 €;30,23%;48.72632;1.432373
62277;Communes;DROCOURT;Transition écologique;rénovation énergétique de l’école primaire Thorez;29 163,00 €;20 664,80 €;70,86%;50.395467;2.930282
200023794;EPCI;CC DE BLAYE;Transition écologique;Aménagement de l’Espace France Service de Blaye;29 166,67 €;14 583,34 €;50,00%;45.13187783567708;-0.6571165396377103
28391;Communes;Toury;Résilience Sanitaire;Hygiénisation des boues de la station;29 222,00 €;11 700,00 €;40,04%;48.1909882;1.9443431
62057;Communes;AUDRUICQ;Transition écologique;Réfection de l’éclairage de la salle polyvalente.;29 244,20 €;7 311,05 €;25,00%;50.884115;2.083412
39016;Communes;Arinthod;Hors thématiques DSIL relance;Aménagement d'une passerelle pour accès groupe scolaire;29 270,00 €;10 244,50 €;35,00%;46.393712;5.573965
8179;Communes;FRANCHEVAL;Transition écologique;Installation d’une chaudière à granulés de bois dans le bâtiment de la mairie-école;29 347,00 €;8 804,00 €;30,00%;49.702704;5.04871
243600350;EPCI;CC de La Châtre et Sainte Sévère;Résilience Sanitaire;Travaux d’épuration de lacs;29 462,00 €;11 784,80 €;40,00%;46.57753097484435;1.9859180404295387
10084;Communes;Charmont-sous-Barbuise;Préservation du patrimoine;Dépose et préservation du clocher de l’église Saint Alban ISMH;29 605,24 €;12 000,00 €;40,53%;48.406909;4.172142
81019;Communes;Assac;Transition écologique;rénovation énergétique du bâtiment de la mairie;29 732,00 €;10 417,00 €;35,04%;43.975626;2.439953
83013;Communes;LA BASTIDE;Transition écologique;Création, mise en conformité et sécurisation d’un chemin d’accès aux sources de Fouan de Bouis;29 740,00 €;11 896,00 €;40,00%;43.744613;6.627631
65086;Communes;Bernadets-Dessus;Transition écologique;mise en sécurité, rénovation thermique et énergétique de la mairie (tranche 3);29 776,00 €;8 900,00 €;29,89%;43.215074;0.3031
82050;Communes;Dunes;Transition écologique;Travaux d'aménagement de la place Pierre Dupuy;29 803,00 €;7 450,00 €;25,00%;44.090649;0.771453
56178;Communes;PONTIVY ;Transition écologique;Rénovation de la chaudière de la maison des syndicats et des associations;29 889,00 €;8 966,00 €;30,00%;48.0646576;-2.969934
35249;Communes;SAINTE ANNE SUR VILAINE;Transition écologique;Remplacement des ampoules des lampadaires pour des ampoules LED;29 950,46 €;5 282,29 €;17,64%;47.734688;-1.821927
65100;Communes;Lourdes;Préservation du patrimoine;Amélioration conditions stationnement ;30 000,00 €;24 000,00 €;80,00%;43.10476444;-0.046139
a480069806;Autres;Les jardins du Comminges;Résilience Sanitaire;couveuse maraîchère du Comminges – Espace test des Jardins du Comminges à Huos;30 000,00 €;15 000,00 €;50,00%;43.074796022104834;0.594374542349875
248719312;EPCI;Communauté Urbaine de Limoges;Résilience sanitaire;Réhabilitation d’un collecteur d’assainissement unitaire – Place Jourdan – commune de Limoges;30 000,00 €;9 000,00 €;30,00%;45.83391070910175;1.2521623207354244
86137;Communes;LOUDUN;Préservation du patrimoine;"Travaux de consolidation et de cristallisation de la Commanderie – Chapelle Saint-Jean
(avis favorable de la DRAC)";30 020,00 €;21 592,00 €;71,93%;47.007389;0.100601
15231;Communes;TALIZAT;Transition écologique;Remplacement de la chaudière de la salle des fêtes;30 047,00 €;12 019,00 €;40,00%;45.116304;3.060537
245600440;EPCI;Communauté de Communes de Blavet Bellevue Océan;Transition écologique;Elaboration du shéma directeur plan vélo sur le territoire de la CCBBO;30 050,00 €;6 010,00 €;20,00%;47.738760068820994;-3.225270377243946
57477;Communes;MONTBRONN;Préservation du patrimoine;Tvx sécurisation/mise aux normes chapelle;30 256,89 €;18 154,00 €;60,00%;48.99346333;7.310447
55535;Communes;VAUDONCOURT;Transition écologique;Rénovation de la toiture / Isolation combles de la mairie et de la salle des fêtes;30 311,34 €;9 301,00 €;30,68%;49.317453;5.647972
62174;Communes;BREMES;Transition écologique;Travaux école maternelle renovation;30 352,71 €;15 176,36 €;50,00%;50.85594;1.959283
56248;Communes;Surzur;Transition écologique;création de pistes cyclables allée du petit train rénovation pistes et station gonflage;30 355,00 €;7 589,00 €;25,00%;47.581631;-2.637898
69169;Communes;RONNO;Transition écologique;Equipement de bâtiment communaux en vue du raccordement au réseau de chaleur;30 360,00 €;9 108,00 €;30,00%;45.98527666;4.381741
18189;Communes;Quantilly;Hors thématiques DSIL relance;Travaux de voirie sur voies communales;30 465,00 €;10 214,00 €;33,53%;47.2293851;2.4449472
34128;Communes;Laroque;Préservation du patrimoine;aménagement de sécurités – chemin de Montplaisir ;30 538,00 €;15 269,00 €;50,00%;43.928652;3.724832
67195;Communes;HESSENHEIM;Transition écologique;Remplacement des menuiseries extérieures de la mairie;30 583,00 €;15 292,00 €;50,00%;48.20764222;7.555696
84047;Communes;GARGAS;Transition écologique;Installation d’un mode de chauffage contribuant à réduire l’impact énergétique dans une partie du groupe scolaire (salle de restauration, une salle de classe, la bibliothèque et le cyber espace);30 587,00 €;24 469,60 €;80,00%;43.892928;5.347129
200035103;EPCI;CDC Vallée de la Haute Sarthe;Hors thématiques DSIL relance;Mise aux normes de l’éclairage au stade de football intercommunal de Coulonges sur Sarthe;30 608,00 €;22 230,50 €;72,63%;48.511304039900125;0.3519305020205337
2E+13;EPCI;CC VALLEES ET PLATEAU D’ARDENNE;Transition écologique;Installation de deux chaudières à haute condensation sur les Cosec de Bogny/Meuse (Cosec de Levrezy et gymnase du collège);30 639,00 €;15 320,00 €;50,00%;49.92441271492792;4.520468242157701
59301;Communes;HERGNIES;Transition écologique;Rénovation thermique par le changement de fenêtres et rénovation du préau à l’école No A Houx;30 677,00 €;12 271,00 €;40,00%;50.482421;3.530157
19147;Communes;NESPOULS;Transition écologique;Pose de panneaux photovoltaiques sur le toit de la nouvelle mairie;30 719,19 €;19 955,10 €;64,96%;45.054169;1.499042
2239;Communes;CREZANCY;Transition écologique;Remplacement de l'éclairage énergivore de l'école;31 050,00 €;24 840,00 €;80,00%;49.049314;3.515459
39178;Communes;Crans;Hors thématiques DSIL relance;Sécurisation de la traversée du village phase 1 et 2 (RD 279);31 057,40 €;13 196,70 €;42,49%;46.704932;5.972821
33236;Communes;LEGE CAP FERRET;Transition écologique;Eclairage LED du terrain de tennis ;31 256,31 €;11 500,00 €;36,79%;44.723963;-1.199455
35270;Communes;SAINT GEORGES DE GREHAIGNE ;Préservation du patrimoine;Prolongation du mur d’enceinte de la salle des fêtes situé dans le périmètre de l’église classée au monument historique ;31 265,00 €;25 012,00 €;80,00%;48.569531;-1.552403
74292;Communes;Vaulx;Transition écologique;rénovation énergétique des bâtiments communaux;31 322,00 €;10 000,00 €;31,93%;45.91608;5.994694
28330;Communes;Villemaury;Transition écologique;Réfection du chauffage de la salle des fêtes du Lutz en Dunois;31 530,00 €;9 200,00 €;29,18%;48.048989;1.450071
40025;Communes;Bascons;Transition écologique;Remplacement du système de chauffage à la cantine scolaire;31 721,00 €;12 688,00 €;40,00%;43.828214;-0.421732
18069;Communes;Colombiers;Transition écologique;Mise en place pompe à chaleur air-eau dans l’école;31 794,47 €;20 044,00 €;63,04%;46.703518;2.541947
82113;Communes;Molières;Transition écologique;Rénovation énergétique du terrain d’honneur de football;31 803,56 €;25 440,00 €;79,99%;44.193125;1.364167
81163;Communes;Mazamet;Préservation du patrimoine;réfection du temple Neuf;31 888,00 €;12 755,00 €;40,00%;43.487463;2.379715
35009;Communes;BAGUER MORVAN;Résilience Sanitaire;Réfection totale de la digue des lagunes et  conformité pérenne de la station d’épuration ;31 977,40 €;25 582,92 €;80,00%;48.507667;-1.762405
1092;Communes;Chatillon Palud;Préservation du patrimoine;Réfection de la façade de l’église de Bublanne;32 000,00 €;11 200,00 €;35,00%;45.973379;5.254572
70004;Communes;Adelans-et-le-Val-de-Bithaine;Transition écologique;Réfection de la toiture de la salle des fêtes;32 000,00 €;9 920,00 €;31,00%;47.707979;6.370895
6048;Communes;Contes;Transition écologique;Rénovation thermique de 4 logements locatifs communaux;32 000,00 €;4 106,24 €;12,83%;43.806587;7.327354
39508;Communes;Sellières;Hors thématiques DSIL relance;Sécurisation et mise en accessibilités des trottoirs et commerces, rue des deux ponts;32 127,94 €;9 283,88 €;28,90%;46.82916;5.563932
94055;Communes;ORMESSON-SUR-MARNE;Transition écologique;Mise en place d’un arrosage automatique raisonné sur l’ensemble de la ville;32 130,82 €;9 639,00 €;30,00%;48.788136;2.533995
29074;Communes;GUIMILIAU;Transition écologique;rénovation énergétique d’un bâtiment communal (centre d’animation locale);32 200,00 €;25 000,00 €;77,64%;48.488355;-3.996785
35170;Communes;MECE;Transition écologique;Rénovation thermique de logements communaux;32 211,50 €;9 663,45 €;30,00%;48.239411;-1.295307
55132;Communes;COUSANCES LES FORGES;Résilience Sanitaire;Travaux sur le clocher et travaux de toiture de l’église Sainte-Memmie;32 270,00 €;12 908,00 €;40,00%;48.62158;5.079897
33498;Communes;SALLES;Transition écologique;Rénovation thermique de la médiathèque-Ludothèque et de l'école de musique;32 417,97 €;9 725,39 €;30,00%;44.559653435;-0.849487
59177;Communes;DOMPIERRE SUR HELPE;Préservation du patrimoine;mise aux normes et sécurisation de la salle des fêtes;32 426,00 €;12 970,00 €;40,00%;50.13573;3.864263
86246;Communes;SAINT SAVIN;Préservation du patrimoine;"Finalisation du chantier du logis Abbatial
de Saint-Savin
(avis DRAC favorable pour phase précédente, en attente avis DRAC pour cette phase)";32 552,00 €;24 023,00 €;73,80%;46.574278;0.840123
57333;Communes;Hommarting;Transition écologique;travaux d'isolation thermique de la couverture sur un immeuble communal;32 662,00 €;16 331,00 €;50,00%;48.741104;7.144213
62057;Communes;AUDRUICQ;Transition écologique;Construction d’un préau à l'école maternelle;32 780,00 €;8 195,00 €;25,00%;50.884122;2.083412
28257;Communes;Mondonville Saint Jean;Transition écologique;Réfection de la toiture de la mairie et de la salle des fêtes;32 849,00 €;16 400,00 €;49,93%;48.363685;1.825303
62545;Communes;MANINGHEM ;Préservation du patrimoine;Réfection et désamiantage des toitures école et mairie;32 933,50 €;9 880,05 €;30,00%;50.543209;1.941803
56199;Communes;ROUDOUALLEC;Transition écologique;Rénovation des équipements d’assainissement;32 938,00 €;15 000,00 €;45,54%;48.128792;-3.715239
87045;Communes;Cieux;Transition écologique;Rénovation thermique d’appartements communaux;33 090,00 €;6 844,00 €;20,68%;45.983322;1.021651
12201;Communes;Rodelle;Préservation du patrimoine;rénovation des églises de Rodelle;33 096,00 €;16 548,00 €;50,00%;44.460738;2.619771
70039;Communes;Autoreille;Transition écologique;Installation d’une pompe à chaleur réversible à la salle polyvalente et à la mairie;33 131,00 €;9 939,00 €;30,00%;47.368861;5.812852
37232;Communes;Coteaux sur Loire;Préservation du patrimoine;Réfection et restauration de l’église d’Ingrandes de Touraine;33 160,37 €;25 000,00 €;75,39%;47.320455;0.310814
67322;Communes;NEUWILLER-LES-SAVERNE;Transition écologique;remplacement de la rampe d’éclairage de la salle omnisports par des luminaires LED;33 203,00 €;8 300,00 €;25,00%;48.828944;7.4041
18253;Communes;Soulangis;Préservation du patrimoine;Réfection de la toiture de l’église;33 206,00 €;26 565,00 €;80,00%;47.181166;2.515595
200090751;EPCI;CA GRAND CALAIS  TERRES ET MERS;Transition écologique;éclairage ICEO.;33 332,76 €;26 666,21 €;80,00%;50.94760702424714;1.850127470246993
81029;Communes;Bernac;Transition écologique;travaux de réhabilitation énergétique d’un logement;33 378,00 €;10 013,00 €;30,00%;43.953;2.031
57697;Communes;Vasperviller;Transition écologique;Réfection de la bibliothèque municipale (isolation + fenêtre);33 577,91 €;16 789,00 €;50,00%;48.63327;7.07298
33029;Communes;Le Barp;Préservation du patrimoine;Travaux de renovation du  bâtiment Hôtel de ville;33 677,43 €;10 103,23 €;30,00%;44.629381;-0.756127
85209;Communes;SAINT-ETIENNE-DE-BRILLOUET;Transition écologique;Changement du mode de chauffage de l’école communale;34 020,03 €;10 206,01 €;30,00%;46.519769;-1.022232
33436;Communes;Saint-Magne;Résilience sanitaire;Rénovation des sanitaires dans une école primaire inadaptés aux enfants et dangereux. Face la crise sanitaire et aux mesures d’hygiène à mettre en place, ces travaux sont devenus très urgents;34 071,57 €;10 221,47 €;30,00%;44.563508;-0.684567
35139;Communes;LAILLE;Transition écologique;Rénovation thermique de la mairie;34 105,96 €;10 000,00 €;29,32%;47.97087;-1.708615
18033;Communes;Bourges;Préservation du patrimoine;Réfection et modernisation de l’éclairage du château d’eau;34 165,00 €;22 207,00 €;65,00%;47.082492;2.3976345
81112;Communes;Labastide-De-Lévis;Préservation du patrimoine;travaux de confortation de l’église Saint Blaise;34 400,00 €;17 200,00 €;50,00%;43.932046;2.002413
80554;Communes;Molliens Dreuil;Transition écologique;rénovation thermique du bâtiment communal;34 571,83 €;27 657,46 €;80,00%;49.886254;2.02175
33449;Communes;SAINT MEDARD EN JALLES;Transition écologique;Etanchéité et isolation de l’école maternelle Montaigne;34 657,20 €;27 725,76 €;80,00%;44.89162764546;-0.761713
62718;Communes;ROEUX;Hors thématiques DSIL relance;Mise en accessibilité du cimetière;34 713,59 €;8 678,40 €;25,00%;50.298536;2.896755
59439;Communes;NOYELLES SUR SAMBRE;Préservation du patrimoine;mise en conformité des bâtiments communaux;34 912,00 €;13 965,00 €;40,00%;50.15758;3.796782
93066;Communes;SAINT-DENIS;Résilience sanitaire;Acquisition d’un fauteuil dentaire pour le centre municipal de santé des Moulins dans le cadre du renouvellement du mobilier;35 000,00 €;17 000,00 €;48,57%;48.92614;2.362459
30038;Communes;Bez-et-Esparon;Transition écologique;création d’un espace public de détente intergénérationnel;35 000,00 €;21 000,00 €;60,00%;43.972178;3.530209
241200674;EPCI;Communauté de communes du Plateau de Montbazens;Préservation du patrimoine;Mise aux normes des équipements sportifs de l’aire de loisirs;35 000,00 €;7 000,00 €;20,00%;44.47704217200155;2.2293124448108315
26367;Communes;VENTEROL;Préservation du patrimoine;Travaux de restauration de la Chapelle Sainte Perpétue;35 000,00 €;8 750,00 €;25,00%;44.389332;5.098873
62214;Communes;CARLY;Préservation du patrimoine;Mise en sécurité du mur d’enceinte du cimetière;35 076,56 €;12 276,80 €;35,00%;50.653406;1.712558
73196;Communes;Pallud;Préservation du patrimoine;rénovation de la toiture de l'église;35 215,43 €;10 000,00 €;28,40%;45.690565;6.389033
28409;Communes;Vieuvicq;Préservation du patrimoine;Réfection du mur d’enceinte, des enduits et de la zinguerie de l’église;35 295,00 €;11 000,00 €;31,17%;48.263793;1.211885
62782;Communes;SAUDEMONT;Préservation du patrimoine;Réhabilitation des écoles : mise en sécurité et aux normes sanitaires;35 559,70 €;7 111,94 €;20,00%;50.244046;3.039878
74152;Communes;Lovagny;Transition écologique;rénovation énergétique des bâtiments publics ( mairie+ église);35 748,00 €;10 725,00 €;30,00%;45.903334;6.039134
40056;Communes;Brocas;Préservation du patrimoine;Travaux d’urgence sur vanne annexe sur rive gauche de l’étang des forges;35 893,00 €;28 714,00 €;80,00%;44.050574;-0.536085
28001;Communes;Abondant;Transition écologique;Remplacement des menuiseries de l’accueil périscolaire et de la salle de motricité;35 930,00 €;17 900,00 €;49,82%;48.783703;1.440578
70550;Communes;Vesoul;Hors thématiques DSIL relance;Sécurisation école maternelle rue Petit;35 990,00 €;21 594,00 €;60,00%;47.6286911;6.157979
82026;Communes;Bruniquel;Préservation du patrimoine;Sécurisation et mise aux normes des châteaux de Bruniquel – Phase d’urgence;36 000,00 €;21 600,00 €;60,00%;44.055365;1.648923
200066124;EPCI;Communauté d’Agglomération Gaillac-Graulhet;Transition écologique;installation d’équipements pour stations vélo;36 060,00 €;18 030,00 €;50,00%;43.853858956312294;1.931057175391725
54072;Communes;Bezaumont;Préservation du patrimoine;Remplacement des luminaires par des LED;36 348,00 €;14 539,00 €;40,00%;48.851894;6.110155
247000664;EPCI;CC Pays de Lure;Transition écologique;Création d’une aire de covoiturage;36 400,00 €;12 740,00 €;35,00%;47.67075837360872;6.509567253145867
1320;Communes;Replonges;Transition écologique;éclairage de la salle polyvalente;36 420,00 €;10 926,00 €;30,00%;46.306981;4.876176
60082;Communes;BONNEUIL LES EAUX;Préservation du patrimoine;Travaux de restauration de la charpente dans la partie sommitale du clocher et restauration de la croix de l’église Saint Nicolas;36 500,00 €;18 250,00 €;50,00%;49.67548;2.248448
34245;Communes;Saint-Chinian;Transition écologique;remplacement des bornes électriques du marché;36 588,00 €;29 270,00 €;80,00%;43.422328;2.947053
28404;Communes;Vernouillet;Transition écologique;Acquisition de 2 véhicules électriques + 2 bornes de recharge;36 751,00 €;27 500,00 €;74,83%;48.7204842;1.3561132
69203;Communes;SAINT GENIS L’ARGENTIERE;Transition écologique;Rénovation énergétique d’un bâtiment communal;36 753,36 €;22 053,00 €;60,00%;45.71104;4.48984
76552;Communes;SAINTE-ADRESSE;Hors thématiques DSIL relance;dispositif de vidéoprotection - remplacement du serveur de la police municipale;36 757,00 €;11 027,10 €;30,00%;49.509498;0.078887
76329;Communes;GRUCHET LE VALASSE;Hors thématiques DSIL relance;installation d'un systeme de video protection;36 860,93 €;9 215,23 €;25,00%;49.555273;0.503432
29195;Communes;PLOUGUIN;Transition écologique;Aménagement entrée de bourg route de Saint Pabu – pistes cyclables;36 936,00 €;10 000,00 €;27,07%;48.5326182;-4.5922012
28278;Communes;Nogent le Phaye;Transition écologique;Remplacement des portes, fenêtres et velux à la mairie;37 030,00 €;18 500,00 €;49,96%;48.452834;1.580862
33254;Communes;Loupiac de la Réole;Transition écologique;rénovation énergétique d’un logement communal;37 033,00 €;18 516,50 €;50,00%;44.5466838348643;-0.04391
70392;Communes;Oigney;Transition écologique;Aménagement d’un local communal en logement;37 178,79 €;9 707,27 €;26,11%;47.761281;5.8561
33533;Communes;Toulenne;Transition écologique;Isolation thermique de la coursive et mise aux normes des locaux sanitaires du personnel à l’école G.Brassens - ;37 310,00 €;14 924,00 €;40,00%;44.55787;-0.274042
6046;Communes;Colomars;Transition écologique;Changement du mode chauffage et rafraîchissement à l’école de la Sirole et l’aslh;37 329,00 €;26 130,30 €;70,00%;43.755597;7.220536
1229;Communes;Malafretaz;Transition écologique;hangement de menuiseries à l’école;37 500,00 €;11 250,00 €;30,00%;46.324065;5.146157
22072;Communes;Gurunhuel;Transition écologique;Rénovation énergétique de la salle polyvalente ;37 774,00 €;30 219,00 €;80,00%;48.505566;-3.283728
35140;Communes;LALLEU;Transition écologique;Changement de système de chauffage de la salle communale ;37 794,00 €;11 908,89 €;31,51%;47.854655;-1.512015
28082;Communes;Charpont;Transition écologique;Mise en place de modules led dans diverses rues;37 800,00 €;18 900,00 €;50,00%;48.701362;1.439718
35268;Communes;SAINT GANTON;Transition écologique;Remplacement des systèmes de chauffage pour le bâtiment communal “La Belle Alouette”;37 897,49 €;22 738,49 €;60,00%;47.775408;-1.890476
54497;Communes;Saxon-Sion;Préservation du patrimoine;Eclairage solaire et sécurisation de l’entrée du site de Sion;37 985,00 €;11 414,00 €;30,05%;48.427092;6.079481
34148;Communes;Maraussan;Transition écologique;remplacement de la chaudière à granulfés du poste de police;38 000,00 €;15 000,00 €;39,47%;43.366537;3.160919
97126;Communes;saint louis de MG;Résilience Sanitaire;appel à projet covid -protocole rentrée 2020;38 123,92 €;30 498,74 €;80,00%;15.954862;-61.318772
28333;Communes;Saint Denis des Puits;Préservation du patrimoine;Réfection des bancs de l’église et des menuiseries du choeur;38 312,00 €;19 150,00 €;49,98%;48.385003;1.174648
68343;Communes;UNGERSHEIM;Préservation du patrimoine;Rénovation de la Wacht, ancien corps de garde;38 369,00 €;15 340,00 €;39,98%;47.877884;7.312388
76039;Communes;AUTHIEUX SUR LE PORT SAINT OUEN (LES);Hors thématiques DSIL relance;installation d'un système de videoprotection;38 412,00 €;9 603,00 €;25,00%;49.340754;1.13089
84119;Communes;"SAINT SATURNIN
LES AVIGNON";Transition écologique;"Installation d’une toiture photovoltaïque 
Sur l’école élémentaire Jean Moulin";38 520,00 €;19 260,00 €;50,00%;43.959835;4.941165
69115;Communes;limas;Transition écologique;Remplacement d’une chaudière gaz de l’école élémentaire par une chaudière très haute performance énergétique;38 589,00 €;15 436,00 €;40,00%;45.974012;4.717047
8218;Communes;LES HAUTES-RIVIERES;Transition écologique;Rénovation énergétique de deux anciennes écoles à Linchamps et Sorendal;38 696,00 €;15 478,00 €;40,00%;49.88917;4.835467
57308;Communes;HAZEMBOURG;Transition écologique;Isolation thermique  toiture Mairie/Logements pour des économies énergie;38 883,00 €;23 330,00 €;60,00%;48.966606;6.933203
200071116;EPCI;Communauté d'agglomération Espace Communautaire Lons Agglomération;Transition écologique;Aménagement d'une piste cyclable à Montmorot, rue de Vallière;38 926,30 €;11 301,99 €;29,03%;46.67218898167981;5.5587209019636745
30029;Communes;Barjac;Préservation du patrimoine;aménagement du paddle couvert – tranche 2;38 934,04 €;14 344,47 €;36,84%;44.311073;4.347416
33519;Communes;LE TAILLAN MEDOC;Transition écologique;Travaux d’aménagement paysager à l’école maternelle POMETAN;38 962,57 €;19 481,29 €;50,00%;44.914979;-0.680564
69243;Communes;TARARE;Transition écologique;Travaux rénovation thermique écoles maternelles Serroux et Plaine;39 166,67 €;19 976,00 €;51,00%;45.9007;4.429772
65100;Communes;Lourdes;Préservation du patrimoine;Création de services numérisés pour le commerce;39 200,00 €;19 600,00 €;50,00%;43.1047665;-0.046139
88304;Communes;MIRECOURT;Transition écologique;Itinéraire cyclable;39 300,00 €;15 720,00 €;40,00%;48.300989;6.132514
35133;Communes;IFFENDIC;Préservation du patrimoine;Travaux de préservation de l’église St-Eloi;39 314,83 €;11 000,00 €;27,98%;48.118506;-2.025069
246201016;EPCI;Communauté de Communes du Pays de Lumbres;Transition écologique;renouvellement de la flotte de véhicules diesel par des véhicules  (remplacement de 2 vh);39 323,46 €;7 864,69 €;20,00%;50.70595866251043;2.109901848954373
36046;Communes;La Châtre;Hors thématiques DSIL relance;Réfection éclairage public divers rues;39 350,00 €;31 480,00 €;80,00%;46.575002;1.991308
